id,hhb,hbo2,ca,na
10000,7.388,4.56,9.742,2.536
10001,7.74,3.4859999999999998,8.826,1.9600000000000002
10002,11.553999999999998,3.776,9.154,3.134
10003,7.917999999999999,4.934,10.685999999999998,3.9219999999999997
10004,8.552000000000001,3.19,9.248000000000001,2.61
10005,6.978,4.279999999999999,8.72,2.28
10006,11.636000000000001,4.044,9.14,3.5440000000000005
10007,9.856,3.8579999999999997,12.238,3.8600000000000003
10008,6.234,4.792,10.193999999999999,2.2020000000000004
10009,10.937999999999999,3.386,9.902,3.446
10010,10.672,4.203999999999999,8.895999999999999,4.366
10011,7.058000000000002,3.8660000000000005,7.9799999999999995,4.005999999999999
10012,7.8260000000000005,4.2700000000000005,10.266,3.3020000000000005
10013,6.328,4.4879999999999995,12.442,2.2800000000000002
10014,8.966,4.276,9.330000000000002,2.572
10015,5.552,3.9979999999999998,11.45,2.524
10016,9.623999999999999,3.6399999999999997,7.441999999999998,2.114
10017,8.678,3.8480000000000003,8.16,3.002
10018,7.8740000000000006,4.596,7.816,2.814
10019,7.114,3.5519999999999996,7.954000000000001,2.4400000000000004
10020,9.806000000000001,3.186,8.388,3.9699999999999998
10021,10.338,4.94,6.287999999999999,2.868
10022,6.736,4.244000000000001,10.288,3.532
10023,6.775999999999999,4.056,11.562,3.5879999999999996
10024,5.473999999999999,5.318,9.847999999999999,4.843999999999999
10025,5.621999999999999,3.772,8.428,1.4599999999999997
10026,7.760000000000001,4.359999999999999,7.914,3.65
10027,13.447999999999999,5.268,9.066,3.7620000000000005
10028,3.7599999999999993,4.546,8.9,2.85
10029,7.217999999999999,4.1339999999999995,9.204,3.004
10030,7.287999999999999,4.752000000000001,9.754,3.4379999999999997
10031,5.26,4.096,6.65,2.044
10032,8.48,3.0120000000000005,7.228,3.142
10033,10.373999999999999,3.5420000000000003,7.56,4.38
10034,10.662,3.2840000000000003,7.146000000000001,5.176
10035,5.688,3.646,8.959999999999999,3.8660000000000005
10036,7.82,4.992,7.362,2.6699999999999995
10037,5.85,4.05,7.843999999999999,3.156
10038,8.344,3.972,9.896,3.322
10039,6.508,4.206,8.67,3.282
10040,5.788,4.5280000000000005,9.94,3.412
10041,7.167999999999999,3.414,13.0,3.472
10042,8.128,3.934,5.394,2.044
10043,8.39,4.444,9.634,3.7979999999999996
10044,5.662000000000001,4.986,11.735999999999999,3.498
10045,8.814000000000002,3.7920000000000003,7.942,3.696
10046,6.694,4.786,7.674000000000001,2.918
10047,6.9079999999999995,4.05,9.696000000000002,2.836
10048,7.438,4.432,9.57,2.336
10049,6.276,4.808,8.113999999999999,3.018
10050,6.606,4.202,9.392,2.726
10051,5.368,4.324,9.392,3.9259999999999997
10052,9.534,5.088,9.244,3.0020000000000002
10053,5.548,4.424,7.702,1.6380000000000003
10054,6.606,4.426,9.870000000000001,1.83
10055,6.488000000000001,3.6420000000000003,7.768000000000001,5.372
10056,13.948000000000002,4.184,8.936,4.588
10057,6.595999999999999,4.086,6.894,4.646
10058,8.858,4.1579999999999995,6.388,3.6
10059,7.397999999999999,3.6719999999999997,9.188,3.6339999999999995
10060,7.18,4.635999999999999,9.35,3.25
10061,3.558,4.04,7.552,2.928
10062,6.162000000000001,4.142,9.190000000000001,3.228
10063,10.836,4.686000000000001,10.886000000000001,3.845999999999999
10064,7.458,4.482,8.4,4.482
10065,7.989999999999999,4.714,8.372,3.3699999999999997
10066,9.202,3.1719999999999997,7.616000000000001,3.5759999999999996
10067,7.128,3.9260000000000006,8.326,3.3519999999999994
10068,9.354,4.843999999999999,10.496,4.804
10069,7.731999999999999,4.49,9.492,3.6940000000000004
10070,7.192,4.604,8.898,3.2960000000000003
10071,5.978,4.4879999999999995,8.912,3.754
10072,10.032,4.3100000000000005,6.886,2.63
10073,7.716000000000001,4.416,10.994,2.876
10074,8.662,3.8659999999999997,7.264,3.2559999999999993
10075,9.262,4.224,9.74,1.8539999999999999
10076,6.308,5.086,10.591999999999999,2.772
10077,7.110000000000001,4.840000000000001,10.366,3.12
10078,9.803999999999998,3.592,9.506,2.2199999999999998
10079,6.236,4.018,8.784,3.35
10080,5.42,4.772,8.458,3.9
10081,8.088,3.65,7.4860000000000015,3.282
10082,6.684,4.2459999999999996,10.158000000000001,2.8519999999999994
10083,7.702,3.21,9.818,1.934
10084,5.932,4.124,7.8420000000000005,2.316
10085,9.360000000000001,4.505999999999999,8.13,3.8400000000000007
10086,10.808000000000002,3.9520000000000004,9.242,3.13
10087,8.472,4.952,12.888,4.076
10088,9.972000000000001,4.762,8.419999999999998,3.072
10089,6.074,4.167999999999999,8.856,1.86
10090,8.690000000000001,4.1,11.854,2.206
10091,2.8200000000000003,3.072,10.516,3.132
10092,3.75,4.5520000000000005,7.968000000000001,1.9420000000000002
10093,6.214,3.278,7.55,2.038
10094,8.356,3.816,6.37,2.722
10095,9.358,4.35,6.262,3.71
10096,4.453999999999999,3.368,8.978,3.252
10097,7.1659999999999995,4.636,9.898,2.37
10098,9.322,5.045999999999999,9.056000000000001,4.096
10099,10.342,3.4859999999999998,11.004000000000001,4.234
10100,6.558,4.002,9.145999999999999,2.5420000000000003
10101,4.964,4.67,8.354,1.35
10102,0.4660000000000001,3.222,6.746,3.9259999999999993
10103,8.954,3.8579999999999997,8.77,3.7660000000000005
10104,4.096,3.522,9.102,1.592
10105,9.860000000000001,4.058,10.576,3.4160000000000004
10106,9.2,5.074,9.517999999999999,3.476
10107,4.852,4.6579999999999995,10.181999999999999,3.4220000000000006
10108,6.93,4.116,11.479999999999999,3.1599999999999997
10109,7.686,4.474,10.03,4.422000000000001
10110,10.475999999999999,4.112,11.218,0.7459999999999999
10111,9.49,4.198,9.956,3.4219999999999997
10112,8.597999999999999,4.558000000000001,10.616,2.22
10113,10.092,4.465999999999999,9.395999999999999,2.88
10114,6.0,4.712,8.838,2.6239999999999997
10115,9.536,4.698,9.758,2.5300000000000002
10116,9.784,3.2299999999999995,8.059999999999999,3.716
10117,6.9140000000000015,4.696,9.012,2.456
10118,9.11,4.132,7.428,3.3659999999999997
10119,7.878,3.696,10.49,2.854
10120,6.504,4.066,8.08,3.056
10121,8.96,2.6879999999999997,9.12,2.438
10122,6.9719999999999995,4.894,11.856,2.1559999999999997
10123,2.226,3.722,7.7219999999999995,1.2760000000000002
10124,6.464,4.228,9.392,2.144
10125,4.732,3.726,11.602,2.1060000000000003
10126,4.932,3.972,6.986,3.086
10127,6.7379999999999995,5.662000000000001,10.758,5.138
10128,9.148,4.328,9.782,2.46
10129,11.696000000000002,4.601999999999999,10.78,3.9
10130,6.289999999999999,3.678,7.196,3.872
10131,6.694,5.306,8.64,1.584
10132,4.433999999999999,3.6879999999999997,9.51,2.8500000000000005
10133,5.604000000000001,4.212,10.702000000000002,3.996
10134,8.209999999999999,3.372,10.746,4.3
10135,7.022,3.6019999999999994,6.32,3.368
10136,10.22,5.436,9.35,3.682
10137,5.18,3.442,10.592,2.258
10138,5.468000000000001,4.394,8.92,2.076
10139,9.012,4.672000000000001,8.197999999999999,2.656
10140,5.186,4.337999999999999,6.825999999999999,3.806
10141,5.566,3.7119999999999997,5.252,2.7399999999999998
10142,5.433999999999999,3.9160000000000004,7.816,3.088
10143,7.845999999999999,3.88,10.66,4.3660000000000005
10144,7.558,4.296,11.548,2.64
10145,9.764,3.466,8.575999999999999,3.728
10146,8.776,4.004,8.404,2.7640000000000002
10147,9.706,5.054,6.348,4.55
10148,7.205999999999999,3.4979999999999998,7.768000000000001,3.1179999999999994
10149,9.982,3.6100000000000003,9.541999999999998,3.3160000000000003
10150,7.248,3.372,11.344,2.556
10151,7.642,3.2680000000000007,7.962000000000001,0.69
10152,6.561999999999999,2.998,9.088,2.428
10153,9.656,3.7340000000000004,8.228,3.066
10154,9.774,5.172,9.34,3.492
10155,4.12,4.048,6.912000000000001,3.8319999999999994
10156,7.05,3.9720000000000004,11.34,4.154000000000001
10157,4.6240000000000006,4.598,8.75,1.8219999999999998
10158,6.409999999999999,4.184,7.786,3.96
10159,8.986,3.406,7.122,2.586
10160,4.808,4.962000000000001,9.646,1.768
10161,8.842,4.336,8.992,2.3899999999999997
10162,7.808,3.944,8.674,2.5460000000000003
10163,7.126,3.6420000000000003,8.058,2.444
10164,4.252,4.473999999999999,11.878,2.032
10165,7.74,4.294,7.402000000000001,3.874
10166,6.2,4.704,9.706,3.656
10167,6.922,5.119999999999999,10.488,3.08
10168,9.778,4.072,9.341999999999999,2.982
10169,8.588000000000001,3.646,8.756,1.9159999999999997
10170,8.494,3.2700000000000005,8.395999999999999,3.176
10171,9.616,3.9239999999999995,9.395999999999999,1.77
10172,5.806,4.698,9.356,1.504
10173,10.712,3.6580000000000004,7.8340000000000005,4.24
10174,9.106,4.6160000000000005,9.239999999999998,3.414
10175,4.380000000000001,4.360000000000001,8.354,2.8280000000000003
10176,8.68,4.4799999999999995,9.818000000000001,1.9759999999999998
10177,5.506,4.1579999999999995,10.770000000000001,3.188
10178,7.6579999999999995,4.648000000000001,9.654,1.9940000000000002
10179,6.44,3.3880000000000003,9.352,2.96
10180,6.654000000000001,4.74,9.758,2.2520000000000002
10181,7.2620000000000005,3.9919999999999995,10.514,2.698
10182,6.556,4.356,6.714,4.378
